"Level";"s00";"s01";"s02";"s03";"s04";"s05";"s06";"s07";"s00r";"s01r";"s02r";"s03r";"s04r";"s05r";"s06r";"s07r"
0;3.23;3.37;8.775;3.625;3.56;10.21;3.87;10.71;3.28;3.42;9.17;3.69;3.6;10.73;3.95;11.14
1;1.698202381;2.0361190476;3.9811043324;2.3530535714;2.384625;4.7639064901;2.3477380952;4.9751401501;1.7272380952;2.037;4.1815997573;2.3750238095;2.3996666667;4.913034023;2.3448571429;5.0433130891
2;0.9334572095;1.4805790737;2.1113781269;1.6888609254;1.9560582601;2.5698795257;1.9381676518;3.1305933426;0.9402261072;1.4990469481;2.1593622892;1.6904313774;1.9300629787;2.6442402351;1.9309294039;3.1003682556
3;0.4772566739;1.2238250153;1.3525216623;1.1902630238;1.6228396387;1.4075177444;1.6615240191;2.2223113845;0.5032142857;1.2322022483;1.3639470106;1.2068101757;1.615653088;1.4603627491;1.6786573421;2.2300962176
4;0.1382586303;1.0776506731;1.0213922537;0.6646836387;1.5235128393;0.6416373719;1.3617862593;1.6097074225;0.1369061494;1.0917058015;1.0699332846;0.6789658254;1.5328209851;0.684891147;1.3684383176;1.6988144443
5;0.02575;0.94456052;0.7751774824;0.3681878323;1.3911086586;0.255619116;1.0324227348;1.0077294053;0.0278333333;0.9532614063;0.7959395379;0.3712142173;1.3994869539;0.2672195838;1.0456501201;1.0699532676
6;0;0.856259819;0.6531102144;0.1934307221;1.3119887512;0.1072468582;0.6618002245;0.5219776803;0;0.8646343151;0.658788379;0.2043246476;1.3210485696;0.11501198;0.6688027722;0.5461627984
7;;0.7125977006;0.5669797687;0.0441666667;1.2526812137;0.057452381;0.3998629728;0.2365849163;;0.7215687963;0.5814805653;0.0433333333;1.2534184483;0.0751428571;0.4021391268;0.2450281623
8;;0.6646105703;0.549729614;0;1.2137579835;0.01;0.1867387882;0.1219452554;;0.6762291498;0.5601280986;0;1.2184206544;0.01;0.1958724207;0.1263429312
9;;0.5623598927;0.5038071617;;1.1565623248;0;0.062;0.0507184359;;0.5720602137;0.5447665252;;1.1570926793;0;0.0571666667;0.0558077194
10;;0.4662514625;0.4613325801;;1.118353265;;0;0.0125;;0.4758176993;0.4669138142;;1.1199786663;;0;0.015
11;;0.37527886;0.4373557902;;1.088245698;;;0;;0.3937579365;0.444732437;;1.0890766848;;;0
12;;0.3543710317;0.2827558637;;1.0651619057;;;;;0.3763253968;0.2887315076;;1.0600624624;;;
13;;0.2341964286;0.2065681818;;1.0422451854;;;;;0.2320833333;0.1878095238;;1.0435965328;;;
14;;0.1475952381;0.1440555556;;1.0137351539;;;;;0.1645238095;0.1489444444;;1.0126782757;;;
15;;0.0925;0.0815833333;;0.9914136056;;;;;0.1033333333;0.0806666667;;0.9908103356;;;
16;;0.02;0.0316666667;;0.9789403161;;;;;0.02;0.0283333333;;0.9776004799;;;
17;;0.02;0;;0.9572414222;;;;;0.02;0;;0.9582285933;;;
18;;0;;;0.9476368887;;;;;0;;;0.9447706346;;;
19;;;;;0.9378055851;;;;;;;;0.9372558588;;;
20;;;;;0.918748693;;;;;;;;0.9178448658;;;
21;;;;;0.9106289654;;;;;;;;0.9099251751;;;
22;;;;;0.8990675734;;;;;;;;0.8959804112;;;
23;;;;;0.8988176374;;;;;;;;0.9013541168;;;
24;;;;;0.8853213233;;;;;;;;0.8833999311;;;
25;;;;;0.8709344797;;;;;;;;0.8733257878;;;
26;;;;;0.8675869631;;;;;;;;0.8667423943;;;
27;;;;;0.87195886;;;;;;;;0.8758546101;;;
28;;;;;0.8529533473;;;;;;;;0.8482341877;;;
29;;;;;0.857671845;;;;;;;;0.8599588204;;;
30;;;;;0.8445473762;;;;;;;;0.8438341536;;;
31;;;;;0.8469908502;;;;;;;;0.8455899307;;;
32;;;;;0.8494194608;;;;;;;;0.8518339171;;;
33;;;;;0.8414060417;;;;;;;;0.8435636159;;;
34;;;;;0.8324580432;;;;;;;;0.8249004845;;;
35;;;;;0.8264863126;;;;;;;;0.8296785711;;;
36;;;;;0.8504092167;;;;;;;;0.8720465428;;;
37;;;;;0.7952918272;;;;;;;;0.7737239877;;;
38;;;;;0.8441742638;;;;;;;;0.8564272555;;;
39;;;;;0.8238224789;;;;;;;;0.8145698201;;;
40;;;;;0.8242874965;;;;;;;;0.8121633151;;;
41;;;;;0.8422189208;;;;;;;;0.8663455311;;;
42;;;;;0.8300519342;;;;;;;;0.8169726107;;;
43;;;;;0.8270598846;;;;;;;;0.8321937229;;;
44;;;;;0.7688611111;;;;;;;;0.7610912698;;;
45;;;;;0.7838293651;;;;;;;;0.776765873;;;
46;;;;;0.7183690476;;;;;;;;0.7145119048;;;
47;;;;;0.6888106061;;;;;;;;0.6782164502;;;
48;;;;;0.6418571429;;;;;;;;0.6033333333;;;
49;;;;;0.6055833333;;;;;;;;0.58;;;
50;;;;;0.5670833333;;;;;;;;0.545;;;
51;;;;;0.5170833333;;;;;;;;0.515;;;
52;;;;;0.46625;;;;;;;;0.4458333333;;;
53;;;;;0.435;;;;;;;;0.435;;;
54;;;;;0.3391666667;;;;;;;;0.3316666667;;;
55;;;;;0.2841666667;;;;;;;;0.2883333333;;;
56;;;;;0.2375;;;;;;;;0.215;;;
57;;;;;0.2075;;;;;;;;0.21;;;
58;;;;;0.1841666667;;;;;;;;0.1733333333;;;
59;;;;;0.1516666667;;;;;;;;0.1233333333;;;
60;;;;;0.1225;;;;;;;;0.125;;;
61;;;;;0.1125;;;;;;;;0.105;;;
62;;;;;0.08;;;;;;;;0.07;;;
63;;;;;0.07;;;;;;;;0.07;;;
64;;;;;0.06;;;;;;;;0.06;;;
65;;;;;0.03;;;;;;;;0.03;;;
66;;;;;0.0275;;;;;;;;0.025;;;
67;;;;;0.03;;;;;;;;0.03;;;
68;;;;;0.03;;;;;;;;0.03;;;
69;;;;;0.02;;;;;;;;0.02;;;
70;;;;;0.02;;;;;;;;0.02;;;
71;;;;;0.01;;;;;;;;0.01;;;
72;;;;;0;;;;;;;;0;;;
